Province,Date,Item,Count
中国,2020-04-10,confirmed,83264
中国,2020-04-09,confirmed,83189
中国,2020-04-08,confirmed,83095
中国,2020-04-07,confirmed,83039
中国,2020-04-06,confirmed,82966
中国,2020-04-05,confirmed,82899
中国,2020-04-04,confirmed,82857
中国,2020-04-03,confirmed,82772
中国,2020-04-02,confirmed,82691
中国,2020-04-01,confirmed,82601
中国,2020-03-31,confirmed,82506
中国,2020-03-30,confirmed,82423
中国,2020-03-29,confirmed,82283
中国,2020-03-28,confirmed,82164
中国,2020-03-27,confirmed,82037
中国,2020-03-26,confirmed,81896
中国,2020-03-25,confirmed,81847
中国,2020-03-24,confirmed,81692
中国,2020-03-23,confirmed,81566
中国,2020-03-22,confirmed,81501
中国,2020-03-21,confirmed,81416
中国,2020-03-20,confirmed,81301
中国,2020-03-19,confirmed,81204
中国,2020-03-18,confirmed,81138
中国,2020-03-17,confirmed,81100
中国,2020-03-16,confirmed,81063
中国,2020-03-15,confirmed,81059
四川省,2020-05-25,confirmed,564
四川省,2020-05-22,confirmed,563
四川省,2020-04-24,confirmed,561
四川省,2020-04-23,confirmed,561
四川省,2020-04-22,confirmed,561
四川省,2020-04-19,confirmed,561
四川省,2020-04-18,confirmed,561
四川省,2020-04-16,confirmed,560
四川省,2020-04-15,confirmed,560
四川省,2020-04-13,confirmed,560
四川省,2020-04-11,confirmed,560
四川省,2020-04-10,confirmed,560
四川省,2020-04-07,confirmed,560
四川省,2020-04-06,confirmed,559
四川省,2020-04-05,confirmed,558
四川省,2020-04-04,confirmed,557
四川省,2020-04-03,confirmed,555
四川省,2020-04-02,confirmed,554
四川省,2020-04-01,confirmed,552
四川省,2020-03-30,confirmed,550
四川省,2020-03-29,confirmed,550
四川省,2020-03-27,confirmed,548
四川省,2020-03-25,confirmed,547
四川省,2020-03-24,confirmed,545
四川省,2020-03-22,confirmed,543
四川省,2020-03-21,confirmed,542
四川省,2020-03-20,confirmed,541
四川省,2020-03-19,confirmed,540
四川省,2020-03-18,confirmed,540
四川省,2020-03-17,confirmed,539
四川省,2020-03-15,confirmed,539
四川省,2020-03-14,confirmed,539
四川省,2020-03-13,confirmed,539
四川省,2020-03-12,confirmed,539
四川省,2020-03-11,confirmed,539
四川省,2020-03-10,confirmed,539
四川省,2020-03-09,confirmed,539
四川省,2020-03-08,confirmed,539
四川省,2020-03-07,confirmed,539
四川省,2020-03-06,confirmed,539
四川省,2020-03-05,confirmed,539
四川省,2020-03-04,confirmed,538
四川省,2020-03-03,confirmed,538
四川省,2020-03-02,confirmed,538
四川省,2020-03-01,confirmed,538
四川省,2020-02-29,confirmed,538
四川省,2020-02-28,confirmed,538
四川省,2020-02-27,confirmed,534
四川省,2020-02-26,confirmed,531
四川省,2020-02-25,confirmed,529
四川省,2020-02-24,confirmed,527
四川省,2020-02-23,confirmed,526
四川省,2020-02-22,confirmed,526
四川省,2020-02-21,confirmed,525
四川省,2020-02-20,confirmed,520
四川省,2020-02-19,confirmed,514
四川省,2020-02-18,confirmed,508
四川省,2020-02-17,confirmed,495
四川省,2020-02-16,confirmed,481
四川省,2020-02-15,confirmed,470
四川省,2020-02-14,confirmed,463
四川省,2020-02-13,confirmed,436
四川省,2020-02-12,confirmed,436
四川省,2020-02-11,confirmed,417
四川省,2020-02-10,confirmed,405
四川省,2020-02-09,confirmed,386
四川省,2020-02-08,confirmed,363
四川省,2020-02-07,confirmed,344
四川省,2020-02-06,confirmed,321
四川省,2020-02-05,confirmed,301
四川省,2020-02-04,confirmed,282
四川省,2020-02-03,confirmed,254
四川省,2020-02-02,confirmed,231
四川省,2020-02-01,confirmed,207
四川省,2020-01-31,confirmed,177
四川省,2020-01-30,confirmed,142
四川省,2020-01-29,confirmed,108
四川省,2020-01-28,confirmed,90
四川省,2020-01-27,confirmed,69
四川省,2020-01-26,confirmed,28
四川省,2020-01-25,confirmed,28
四川省,2020-01-24,confirmed,8
四川省,2020-01-23,confirmed,8
四川省,2020-01-22,confirmed,1
内蒙古自治区,2020-05-25,confirmed,227
内蒙古自治区,2020-05-22,confirmed,217
内蒙古自治区,2020-05-20,confirmed,217
内蒙古自治区,2020-05-19,confirmed,216
内蒙古自治区,2020-05-18,confirmed,213
内蒙古自治区,2020-05-16,confirmed,209
内蒙古自治区,2020-05-15,confirmed,209
内蒙古自治区,2020-05-13,confirmed,209
内蒙古自治区,2020-05-12,confirmed,209
内蒙古自治区,2020-05-11,confirmed,208
内蒙古自治区,2020-05-10,confirmed,201
内蒙古自治区,2020-05-09,confirmed,201
内蒙古自治区,2020-05-08,confirmed,201
内蒙古自治区,2020-05-07,confirmed,201
内蒙古自治区,2020-05-06,confirmed,201
内蒙古自治区,2020-05-05,confirmed,201
内蒙古自治区,2020-05-04,confirmed,201
内蒙古自治区,2020-05-02,confirmed,201
内蒙古自治区,2020-05-01,confirmed,201
内蒙古自治区,2020-04-30,confirmed,200
内蒙古自治区,2020-04-29,confirmed,199
内蒙古自治区,2020-04-28,confirmed,199
内蒙古自治区,2020-04-27,confirmed,198
内蒙古自治区,2020-04-26,confirmed,198
内蒙古自治区,2020-04-25,confirmed,194
内蒙古自治区,2020-04-21,confirmed,194
内蒙古自治区,2020-04-20,confirmed,194
内蒙古自治区,2020-04-18,confirmed,193
内蒙古自治区,2020-04-17,confirmed,193
内蒙古自治区,2020-04-16,confirmed,193
内蒙古自治区,2020-04-15,confirmed,190
内蒙古自治区,2020-04-14,confirmed,190
内蒙古自治区,2020-04-13,confirmed,190
内蒙古自治区,2020-04-12,confirmed,155
内蒙古自治区,2020-04-11,confirmed,155
内蒙古自治区,2020-04-10,confirmed,128
内蒙古自治区,2020-04-09,confirmed,126
内蒙古自治区,2020-04-08,confirmed,124
内蒙古自治区,2020-04-07,confirmed,121
内蒙古自治区,2020-04-06,confirmed,118
内蒙古自治区,2020-04-02,confirmed,117
内蒙古自治区,2020-04-01,confirmed,111
内蒙古自治区,2020-03-31,confirmed,107
内蒙古自治区,2020-03-30,confirmed,97
